"legis.names","mean.x","vars.x","party","session"
"丁守中",0.772911672059672,0.00106365487744361,"K","2nd Session"
"何智輝",0.149391796070857,0.00106365487744361,"K","2nd Session"
"余政憲",-0.571428325829024,0.00106365487744361,"D","2nd Session"
"余玲雅",-1.60725704307958,0.00106365487744361,"D","2nd Session"
"侯海熊",-1.36899303991324,0.00106365487744361,"D","2nd Session"
"劉光華",1.3667342968236,0.00106365487744361,"K","2nd Session"
"劉國昭",1.41862722170493,0.00106365487744361,"K","2nd Session"
"劉政鴻",1.14081085712311,0.00106365487744361,"K","2nd Session"
"劉文慶",-1.89067604283191,0.00106365487744361,"D","2nd Session"
"劉松藩",0.350257239938259,0.00106365487744361,"K","2nd Session"
"劉炳華",1.35134851644189,0.00106365487744361,"K","2nd Session"
"劉瑞生",1.42043071511096,0.00106365487744361,"K","2nd Session"
"吳德美",1.31150995099339,0.00106365487744361,"K","2nd Session"
"吳東昇",1.09882854120289,0.00106365487744361,"K","2nd Session"
"吳耀寬",-0.180336239059363,0.00106365487744361,"K","2nd Session"
"呂新民",1.20096271997144,0.00106365487744361,"K","2nd Session"
"呂秀蓮",-1.94019183929147,0.00106365487744361,"D","2nd Session"
"周伯倫",-2.11950244035841,0.00106365487744361,"D","2nd Session"
"周書府",1.56544041325611,0.00106365487744361,"K","2nd Session"
"周荃",-0.678285316629415,0.00106365487744361,"k2","2nd Session"
"嚴啟昌",1.42877408235985,0.00106365487744361,"K","2nd Session"
"姚嘉文",-1.90685035432367,0.00106365487744361,"D","2nd Session"
"尤宏",-2.1080530718341,0.00106365487744361,"D","2nd Session"
"廖光生",1.60414380329093,0.00106365487744361,"K","2nd Session"
"廖大林",-2.18812321371552,0.00106365487744361,"D","2nd Session"
"廖永來",-1.91195557270228,0.00106365487744361,"D","2nd Session"
"廖福本",1.34806630327732,0.00106365487744361,"K","2nd Session"
"張俊宏",-1.80457793816348,0.00106365487744361,"D","2nd Session"
"張俊雄",-2.23376129620859,0.00106365487744361,"D","2nd Session"
"張偉",1.1743742594649,0.00106365487744361,"K","2nd Session"
"張堅華",1.30042148695161,0.00106365487744361,"K","2nd Session"
"張建國",1.51141906382791,0.00106365487744361,"K","2nd Session"
"張文儀",0.878097686428444,0.00106365487744361,"K","2nd Session"
"張旭成",-1.93380991873311,0.00106365487744361,"D","2nd Session"
"彭百顯",-1.97416834298313,0.00106365487744361,"D","2nd Session"
"徐中雄",1.26779973014455,0.00106365487744361,"K","2nd Session"
"徐成焜",0.643036460241282,0.00106365487744361,"K","2nd Session"
"戴振耀",-1.94056327236885,0.00106365487744361,"D","2nd Session"
"方來進",-1.97017470869373,0.00106365487744361,"D","2nd Session"
"施台生",1.27698943663762,0.00106365487744361,"K","2nd Session"
"施明德",-1.92878459603775,0.00106365487744361,"D","2nd Session"
"曹爾忠",1.20152253160339,0.00106365487744361,"K","2nd Session"
"曾振農",1.05303318838981,0.00106365487744361,"K","2nd Session"
"曾永權",1.27479684031884,0.00106365487744361,"K","2nd Session"
"朱勝號",-0.332589799665994,0.00106365487744361,"D","2nd Session"
"朱星羽",-1.79755386049794,0.00106365487744361,"D","2nd Session"
"朱高正",-0.485318586146942,0.00106365487744361,"k2","2nd Session"
"朱鳳芝",1.41787934188239,0.00106365487744361,"K","2nd Session"
"李友吉",1.66801976748795,0.00106365487744361,"K","2nd Session"
"李宗正",1.33766407479421,0.00106365487744361,"K","2nd Session"
"李必賢",1.36477803141155,0.00106365487744361,"K","2nd Session"
"李慶華",-0.635640356402988,0.00106365487744361,"k2","2nd Session"
"李慶雄",-2.15892017677142,0.00106365487744361,"D","2nd Session"
"李源泉",1.72219642904491,0.00106365487744361,"K","2nd Session"
"李進勇",-1.89639131539031,0.00106365487744361,"D","2nd Session"
"李顯榮",1.01087469789439,0.00106365487744361,"K","2nd Session"
"李鳴皋",1.41418209770101,0.00106365487744361,"K","2nd Session"
"林光華",-1.79573564434268,0.00106365487744361,"D","2nd Session"
"林國龍",1.01332490383595,0.00106365487744361,"K","2nd Session"
"林壽山",0.727802612192405,0.00106365487744361,"K","2nd Session"
"林志嘉",1.43258638940417,0.00106365487744361,"K","2nd Session"
"林明義",1.29410928546248,0.00106365487744361,"K","2nd Session"
"林正杰",-0.948866429935259,0.00106365487744361,"O1","2nd Session"
"林源山",1.19576548219043,0.00106365487744361,"K","2nd Session"
"林濁水",-2.02954341975078,0.00106365487744361,"D","2nd Session"
"林瑞卿",-1.83346928793546,0.00106365487744361,"D","2nd Session"
"林聰明",1.03744755519569,0.00106365487744361,"K","2nd Session"
"林錫山",0.99437274798148,0.00106365487744361,"K","2nd Session"
"柯建銘",-1.88087001564406,0.00106365487744361,"D","2nd Session"
"楊吉雄",1.47925542969744,0.00106365487744361,"K","2nd Session"
"江偉平",1.54120309054716,0.00106365487744361,"K","2nd Session"
"江鵬堅",-2.19998589421089,0.00106365487744361,"D","2nd Session"
"沈富雄",-2.12526913382165,0.00106365487744361,"D","2nd Session"
"沈智慧",1.1327169018055,0.00106365487744361,"K","2nd Session"
"洪冬桂",1.24692094786527,0.00106365487744361,"K","2nd Session"
"洪奇昌",-2.05633954637246,0.00106365487744361,"D","2nd Session"
"洪性榮",0.451578171085265,0.00106365487744361,"K","2nd Session"
"洪昭男",1.32878138985118,0.00106365487744361,"K","2nd Session"
"洪濬哲",1.39545833024772,0.00106365487744361,"K","2nd Session"
"洪玉欽",1.45634717688741,0.00106365487744361,"K","2nd Session"
"洪秀柱",1.09858578596671,0.00106365487744361,"K","2nd Session"
"游日正",0.513864355276024,0.00106365487744361,"K","2nd Session"
"游淮銀",1.16150055292286,0.00106365487744361,"K","2nd Session"
"潘維剛",1.05338879787191,0.00106365487744361,"K","2nd Session"
"王世雄",0.532280452539892,0.00106365487744361,"K","2nd Session"
"王國清",1.34019124752507,0.00106365487744361,"K","2nd Session"
"王天競",1.4274872673712,0.00106365487744361,"K","2nd Session"
"王建瑄",-0.584411029783487,0.00106365487744361,"k2","2nd Session"
"王金平",1.43085750939948,0.00106365487744361,"K","2nd Session"
"王顯明",1.17102559292597,0.00106365487744361,"K","2nd Session"
"瓦歷斯貝林",-0.358125493476035,0.00106365487744361,"O1","2nd Session"
"盧修一",-2.09981316797706,0.00106365487744361,"D","2nd Session"
"程建人",1.24233036266101,0.00106365487744361,"K","2nd Session"
"羅傳進",1.59092278111337,0.00106365487744361,"K","2nd Session"
"翁大銘",0.513214723162946,0.00106365487744361,"O1","2nd Session"
"翁重鈞",0.669879548364983,0.00106365487744361,"K","2nd Session"
"翁金珠",-2.13286285219376,0.00106365487744361,"D","2nd Session"
"莊金生",1.35710317744102,0.00106365487744361,"K","2nd Session"
"華加志",1.31302583107076,0.00106365487744361,"K","2nd Session"
"葉憲修",-1.13461394073368,0.00106365487744361,"O1","2nd Session"
"葉耀鵬",-1.93885568759868,0.00106365487744361,"D","2nd Session"
"葉菊蘭",-2.21583638208433,0.00106365487744361,"D","2nd Session"
"葛雨琴",1.26053537453621,0.00106365487744361,"K","2nd Session"
"蔡中涵",0.603985599282275,0.00106365487744361,"K","2nd Session"
"蔡勝邦",1.37200773973101,0.00106365487744361,"K","2nd Session"
"蔡友土",1.49175312518088,0.00106365487744361,"K","2nd Session"
"蔡同榮",-2.223209226141,0.00106365487744361,"D","2nd Session"
"蔡式淵",-2.09733396164611,0.00106365487744361,"D","2nd Session"
"蕭金蘭",1.30811110697668,0.00106365487744361,"K","2nd Session"
"蘇嘉全",-1.92364712635016,0.00106365487744361,"D","2nd Session"
"蘇火燈",0.853017283448644,0.00106365487744361,"K","2nd Session"
"蘇煥智",-1.93805905267405,0.00106365487744361,"D","2nd Session"
"許國泰",-1.80939559150128,0.00106365487744361,"D","2nd Session"
"許添財",-1.89549425851629,0.00106365487744361,"D","2nd Session"
"詹裕仁",1.00447705180991,0.00106365487744361,"K","2nd Session"
"謝啟大",-0.604824311462789,0.00106365487744361,"k2","2nd Session"
"謝深山",1.11336586835182,0.00106365487744361,"K","2nd Session"
"謝聰敏",-1.71481368158676,0.00106365487744361,"D","2nd Session"
"謝長廷",-2.0804232764312,0.00106365487744361,"D","2nd Session"
"賴英芳",-0.12497428969145,0.00106365487744361,"O1","2nd Session"
"趙少康",-0.686259911435586,0.00106365487744361,"k2","2nd Session"
"趙振鵬",1.48273020075668,0.00106365487744361,"K","2nd Session"
"趙永清",0.868349201500215,0.00106365487744361,"K","2nd Session"
"趙琇娃",-1.82106516453111,0.00106365487744361,"D","2nd Session"
"邱垂貞",-1.96407349106819,0.00106365487744361,"D","2nd Session"
"邱連輝",-2.10110222136127,0.00106365487744361,"D","2nd Session"
"郁慕明",-0.618293679806436,0.00106365487744361,"k2","2nd Session"
"郭廷才",1.48944235757653,0.00106365487744361,"K","2nd Session"
"郭政權",1.00453625923122,0.00106365487744361,"K","2nd Session"
"郭石城",1.53918715054459,0.00106365487744361,"K","2nd Session"
"郭金生",1.1866839584018,0.00106365487744361,"K","2nd Session"
"鄭逢時",1.40465049993726,0.00106365487744361,"K","2nd Session"
"關中",0.827245937527146,0.00106365487744361,"K","2nd Session"
"陳健民",1.48836534928859,0.00106365487744361,"K","2nd Session"
"陳傑儒",1.26685951823523,0.00106365487744361,"K","2nd Session"
"陳光復",-1.99038527829853,0.00106365487744361,"D","2nd Session"
"陳哲男",-1.31471710627608,0.00106365487744361,"D","2nd Session"
"陳唐山",-0.689195617604193,0.00106365487744361,"D","2nd Session"
"陳婉真",-2.19413525092488,0.00106365487744361,"D","2nd Session"
"陳宏昌",1.11854878529931,0.00106365487744361,"K","2nd Session"
"陳定南",-1.79868376660924,0.00106365487744361,"D","2nd Session"
"陳建平",1.23372985872758,0.00106365487744361,"K","2nd Session"
"陳志彬",0.323743709903049,0.00106365487744361,"K","2nd Session"
"陳昭南",-1.98243003620664,0.00106365487744361,"D","2nd Session"
"陳朝容",1.28888175463009,0.00106365487744361,"K","2nd Session"
"陳水扁",-1.4528161717444,0.00106365487744361,"D","2nd Session"
"陳清寶",1.00556964591706,0.00106365487744361,"K","2nd Session"
"陳璽安",1.55971989244235,0.00106365487744361,"K","2nd Session"
"陳癸淼",-0.602906031266678,0.00106365487744361,"k2","2nd Session"
"陳錫章",1.0723477207023,0.00106365487744361,"K","2nd Session"
"韓國瑜",1.03892196080156,0.00106365487744361,"K","2nd Session"
"顏錦福",-2.34287181191573,0.00106365487744361,"D","2nd Session"
"饒穎奇",1.62115367951233,0.00106365487744361,"K","2nd Session"
"馬賴古麥",1.27898068637674,0.00106365487744361,"K","2nd Session"
"高巍和",1.52555195839408,0.00106365487744361,"K","2nd Session"
"高育仁",1.00265941393167,0.00106365487744361,"K","2nd Session"
"魏耀乾",-1.78743389190802,0.00106365487744361,"D","2nd Session"
"魏鏞",0.868330970065618,0.00106365487744361,"K","2nd Session"
"黃主文",0.978546236284408,0.00106365487744361,"K","2nd Session"
"黃信介",-1.8589188403773,0.00106365487744361,"D","2nd Session"
"黃昭輝",-1.97996098902875,0.00106365487744361,"D","2nd Session"
"黃昭順",0.792719421817383,0.00106365487744361,"K","2nd Session"
"黃正一",1.47260288944231,0.00106365487744361,"K","2nd Session"
"黃煌雄",-1.93093424569889,0.00106365487744361,"D","2nd Session"
"黃爾璇",-2.28435418303089,0.00106365487744361,"D","2nd Session"
"丁守中",1.7677947198274,0.00131565408330385,"K","3rd Session"
"何聖隆",1.47972745461996,0.00131565408330385,"K","3rd Session"
"余玲雅",-2.74656096293344,0.00131565408330385,"D","3rd Session"
"傅崑成",-0.690254787582535,0.00131565408330385,"k2","3rd Session"
"全文盛",1.6075386108125,0.00131565408330385,"K","3rd Session"
"劉光華",2.19709722937908,0.00131565408330385,"K","3rd Session"
"劉國昭",2.10638336218118,0.00131565408330385,"K","3rd Session"
"劉松藩",1.61768945419877,0.00131565408330385,"K","3rd Session"
"劉盛良",1.9850186094743,0.00131565408330385,"K","3rd Session"
"劉進興",-2.62601979888631,0.00131565408330385,"D","3rd Session"
"吳克清",2.1557755287919,0.00131565408330385,"K","3rd Session"
"吳惠祖",2.11476092731613,0.00131565408330385,"K","3rd Session"
"周伯倫",-2.69742502202657,0.00131565408330385,"D","3rd Session"
"周荃",-0.693946199282599,0.00131565408330385,"k2","3rd Session"
"周陽山",-0.681231359571497,0.00131565408330385,"k2","3rd Session"
"姚立明",-0.64203355518633,0.00131565408330385,"k2","3rd Session"
"尤宏",-2.61610581721004,0.00131565408330385,"D","3rd Session"
"巴燕達魯",-2.77784360986266,0.00131565408330385,"D","3rd Session"
"廖大林",-2.57845012351054,0.00131565408330385,"D","3rd Session"
"廖學廣",-0.763118579205365,0.00131565408330385,"O1","3rd Session"
"廖福本",1.95774679600681,0.00131565408330385,"K","3rd Session"
"張俊宏",-2.72006610696583,0.00131565408330385,"D","3rd Session"
"張俊雄",-2.73732990864657,0.00131565408330385,"D","3rd Session"
"張光錦",2.22504947665569,0.00131565408330385,"K","3rd Session"
"張文儀",1.76185568938021,0.00131565408330385,"K","3rd Session"
"張旭成",-2.60076103652894,0.00131565408330385,"D","3rd Session"
"張晉城",0.53109086273117,0.00131565408330385,"D","3rd Session"
"彭百顯",-1.98977049730816,0.00131565408330385,"D","3rd Session"
"彭紹瑾",-2.75263371398868,0.00131565408330385,"D","3rd Session"
"徐中雄",1.653934022056,0.00131565408330385,"K","3rd Session"
"徐少萍",2.17501537462667,0.00131565408330385,"K","3rd Session"
"徐成焜",0.478520836330892,0.00131565408330385,"K","3rd Session"
"施台生",1.7417650679605,0.00131565408330385,"K","3rd Session"
"施明德",-2.63008437061131,0.00131565408330385,"D","3rd Session"
"曹爾忠",1.94506844563406,0.00131565408330385,"K","3rd Session"
"曾振農",1.7132896459395,0.00131565408330385,"K","3rd Session"
"曾永權",2.10575837690862,0.00131565408330385,"K","3rd Session"
"朱惠良",-0.67514679639771,0.00131565408330385,"k2","3rd Session"
"朱星羽",-1.6296621192278,0.00131565408330385,"D","3rd Session"
"朱高正",-0.502201744580165,0.00131565408330385,"k2","3rd Session"
"朱鳳芝",1.96690878432664,0.00131565408330385,"K","3rd Session"
"李俊毅",-2.70520291964661,0.00131565408330385,"D","3rd Session"
"李友吉",2.02093250653792,0.00131565408330385,"K","3rd Session"
"李必賢",2.17947979726274,0.00131565408330385,"K","3rd Session"
"李慶華",-0.690714598007623,0.00131565408330385,"k2","3rd Session"
"李應元",-2.63442419938733,0.00131565408330385,"D","3rd Session"
"李文郎",2.21487850864384,0.00131565408330385,"K","3rd Session"
"李進勇",-2.55937181214658,0.00131565408330385,"D","3rd Session"
"李顯榮",1.92099461513852,0.00131565408330385,"K","3rd Session"
"李鳴皋",2.18460914449366,0.00131565408330385,"K","3rd Session"
"杜振榮",2.01594380755344,0.00131565408330385,"K","3rd Session"
"林光華",-2.37389251644766,0.00131565408330385,"D","3rd Session"
"林哲夫",-2.71108258152052,0.00131565408330385,"D","3rd Session"
"林國龍",1.99101992015497,0.00131565408330385,"K","3rd Session"
"林宏宗",0.598843899328779,0.00131565408330385,"O1","3rd Session"
"林建榮",2.11739945017819,0.00131565408330385,"K","3rd Session"
"林志嘉",1.99965635488524,0.00131565408330385,"K","3rd Session"
"林忠正",-2.63661367209904,0.00131565408330385,"D","3rd Session"
"林政則",1.70501013088316,0.00131565408330385,"K","3rd Session"
"林文郎",-2.76044672551574,0.00131565408330385,"D","3rd Session"
"林明義",1.74243852646647,0.00131565408330385,"K","3rd Session"
"林源山",1.74499953429529,0.00131565408330385,"K","3rd Session"
"林濁水",-2.61298670118423,0.00131565408330385,"D","3rd Session"
"林炳坤",2.01649933868082,0.00131565408330385,"K","3rd Session"
"林瑞卿",-2.61349304350799,0.00131565408330385,"D","3rd Session"
"林耀興",1.8416399994006,0.00131565408330385,"K","3rd Session"
"林豐喜",-2.70279986345496,0.00131565408330385,"D","3rd Session"
"林郁方",-0.591717130285428,0.00131565408330385,"k2","3rd Session"
"林錫山",2.12345665346384,0.00131565408330385,"K","3rd Session"
"柯建銘",-2.37882390861978,0.00131565408330385,"D","3rd Session"
"楊吉雄",2.23033071793713,0.00131565408330385,"K","3rd Session"
"沈富雄",-2.71602171952796,0.00131565408330385,"D","3rd Session"
"沈智慧",2.11191833325261,0.00131565408330385,"K","3rd Session"
"洪冬桂",1.69853726741569,0.00131565408330385,"K","3rd Session"
"洪奇昌",-2.64075546564619,0.00131565408330385,"D","3rd Session"
"洪性榮",1.91490740728632,0.00131565408330385,"K","3rd Session"
"洪昭男",2.10569234649166,0.00131565408330385,"K","3rd Session"
"洪玉欽",2.06016865297549,0.00131565408330385,"K","3rd Session"
"洪秀柱",2.04743038645833,0.00131565408330385,"K","3rd Session"
"游淮銀",2.09817868455293,0.00131565408330385,"K","3rd Session"
"潘維剛",2.01971255309195,0.00131565408330385,"K","3rd Session"
"王令麟",2.19688765270179,0.00131565408330385,"K","3rd Session"
"王天競",2.08516253004454,0.00131565408330385,"K","3rd Session"
"王志雄",1.2372060507869,0.00131565408330385,"K","3rd Session"
"王拓",-2.79050439893513,0.00131565408330385,"D","3rd Session"
"王素筠",1.69118148434625,0.00131565408330385,"K","3rd Session"
"王金平",1.98974304029992,0.00131565408330385,"K","3rd Session"
"王雪峰",-2.54333944909347,0.00131565408330385,"D","3rd Session"
"王顯明",1.39274002839305,0.00131565408330385,"K","3rd Session"
"瓦歷斯貝林",0.126101324737765,0.00131565408330385,"K","3rd Session"
"盧修一",-2.37256265378071,0.00131565408330385,"D","3rd Session"
"簡金卿",2.1178006000397,0.00131565408330385,"K","3rd Session"
"簡錫皆",-2.8548877789775,0.00131565408330385,"D","3rd Session"
"羅傳進",2.19509882110365,0.00131565408330385,"K","3rd Session"
"羅福助",1.22817670668233,0.00131565408330385,"O1","3rd Session"
"翁重鈞",1.69142463754083,0.00131565408330385,"K","3rd Session"
"翁金珠",-2.68834329232112,0.00131565408330385,"D","3rd Session"
"范巽綠",-2.66181171242236,0.00131565408330385,"D","3rd Session"
"范振宗",-1.90613622423184,0.00131565408330385,"D","3rd Session"
"莊金生",2.05565264262577,0.00131565408330385,"K","3rd Session"
"葉菊蘭",-2.80752302415346,0.00131565408330385,"D","3rd Session"
"葛雨琴",2.18718098088968,0.00131565408330385,"K","3rd Session"
"蔡中涵",-0.148078707747635,0.00131565408330385,"K","3rd Session"
"蔡勝邦",1.61207547124885,0.00131565408330385,"K","3rd Session"
"蔡同榮",-2.45587860068386,0.00131565408330385,"D","3rd Session"
"蔡式淵",-2.78524142518929,0.00131565408330385,"D","3rd Session"
"蔡明憲",-2.61974622227675,0.00131565408330385,"D","3rd Session"
"蔡正揚",-0.648377759367796,0.00131565408330385,"k2","3rd Session"
"蔡煌瑯",-2.63171385474857,0.00131565408330385,"D","3rd Session"
"蔡璧煌",2.14791960645064,0.00131565408330385,"K","3rd Session"
"蕭萬長",2.01998453453559,0.00131565408330385,"K","3rd Session"
"蕭裕珍",-2.69837077933299,0.00131565408330385,"D","3rd Session"
"蕭金蘭",1.98441379736807,0.00131565408330385,"K","3rd Session"
"蘇嘉全",-2.45657410837643,0.00131565408330385,"D","3rd Session"
"蘇煥智",-2.69324353405473,0.00131565408330385,"D","3rd Session"
"蘇貞昌",-2.47071420631747,0.00131565408330385,"D","3rd Session"
"許添財",-2.29978943591639,0.00131565408330385,"O1","3rd Session"
"許舒博",1.77938874141737,0.00131565408330385,"K","3rd Session"
"謝啟大",-0.714262350171686,0.00131565408330385,"k2","3rd Session"
"謝欽宗",1.66008186802093,0.00131565408330385,"K","3rd Session"
"謝聰敏",-2.77051601120356,0.00131565408330385,"D","3rd Session"
"謝錦川",-2.5330922436432,0.00131565408330385,"D","3rd Session"
"賴來焜",-0.656080340921052,0.00131565408330385,"k2","3rd Session"
"趙永清",0.602994625719865,0.00131565408330385,"K","3rd Session"
"邱垂貞",-2.64457224611028,0.00131565408330385,"D","3rd Session"
"郁慕明",-0.597996431076591,0.00131565408330385,"k2","3rd Session"
"郝龍斌",-0.577013823285028,0.00131565408330385,"k2","3rd Session"
"郭廷才",1.8796305505126,0.00131565408330385,"K","3rd Session"
"郭政權",1.90572034571346,0.00131565408330385,"K","3rd Session"
"郭金生",1.6619240550191,0.00131565408330385,"K","3rd Session"
"鄭寶清",-2.69323785255082,0.00131565408330385,"D","3rd Session"
"鄭朝明",-2.74402569061722,0.00131565408330385,"D","3rd Session"
"鄭永金",2.18245011095075,0.00131565408330385,"K","3rd Session"
"鄭逢時",2.04108158325925,0.00131565408330385,"K","3rd Session"
"鄭龍水",-0.673854292219975,0.00131565408330385,"k2","3rd Session"
"錢達",-0.663215328532869,0.00131565408330385,"k2","3rd Session"
"鍾利德",1.88533857675944,0.00131565408330385,"K","3rd Session"
"陳一新",-0.603453259752143,0.00131565408330385,"k2","3rd Session"
"陳健民",2.09178064143056,0.00131565408330385,"K","3rd Session"
"陳傑儒",1.9034187357128,0.00131565408330385,"K","3rd Session"
"陳光復",-1.97206819792114,0.00131565408330385,"D","3rd Session"
"陳其邁",-2.69480769037781,0.00131565408330385,"D","3rd Session"
"陳宏昌",1.367378275501,0.00131565408330385,"K","3rd Session"
"陳定南",-2.76126939276004,0.00131565408330385,"D","3rd Session"
"陳志彬",0.756977390683796,0.00131565408330385,"K","3rd Session"
"陳文輝",-1.45879868550775,0.00131565408330385,"D","3rd Session"
"陳朝容",1.91566985666962,0.00131565408330385,"K","3rd Session"
"陳永興",-2.26102600782358,0.00131565408330385,"D","3rd Session"
"陳清寶",1.54568574508467,0.00131565408330385,"K","3rd Session"
